"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Tensas Parish, LA"	"22107"	285	17152	1661.6
	"Terrebonne Parish, LA"	"22109"	4668	441200	1058.0
	"Union Parish, LA"	"22111"	1281	88778	1442.9
	"Vermilion Parish, LA"	"22113"	2674	238097	1123.1
	"Vernon Parish, LA"	"22115"	1863	192077	969.9
	"Washington Parish, LA"	"22117"	2711	184322	1470.8
	"Webster Parish, LA"	"22119"	2337	153024	1527.2
	"West Baton Rouge Parish, LA"	"22121"	972	106476	912.9
	"West Carroll Parish, LA"	"22123"	606	43104	1405.9
	"West Feliciana Parish, LA"	"22125"	589	61958	950.6
	"Winn Parish, LA"	"22127"	783	55716	1405.3
	"Androscoggin County, ME"	"23001"	5147	433050	1188.5
	"Aroostook County, ME"	"23003"	3744	267774	1398.2
	"Cumberland County, ME"	"23005"	11515	1184782	971.9
	"Franklin County, ME"	"23007"	1461	120068	1216.8
	"Hancock County, ME"	"23009"	2653	219974	1206.1
	"Kennebec County, ME"	"23011"	5727	490295	1168.1
	"Knox County, ME"	"23013"	2009	159445	1260.0
	"Lincoln County, ME"	"23015"	1714	138526	1237.3
	"Oxford County, ME"	"23017"	2926	231857	1262.0
	"Penobscot County, ME"	"23019"	7197	606554	1186.5
	"Piscataquis County, ME"	"23021"	1036	67577	1533.1
	"Sagadahoc County, ME"	"23023"	1520	143578	1058.7
	"Somerset County, ME"	"23025"	2608	202346	1288.9
	"Waldo County, ME"	"23027"	1821	159255	1143.4
	"Washington County, ME"	"23029"	1893	125815	1504.6
	"York County, ME"	"23031"	8909	832002	1070.8
	"Allegany County, MD"	"24001"	3892	281505	1382.6
	"Anne Arundel County, MD"	"24003"	18649	2320819	803.6
	"Baltimore County, MD"	"24005"	35411	3307835	1070.5
	"Calvert County, MD"	"24009"	3062	370672	826.1
	"Caroline County, MD"	"24011"	1487	133694	1112.2
	"Carroll County, MD"	"24013"	6885	675060	1019.9
	"Cecil County, MD"	"24015"	4444	412519	1077.3
	"Charles County, MD"	"24017"	5144	653632	787.0
