"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 4: West"	"CENS-R4"	"2021 (provisional and partial)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	59418	Not Applicable	Not Applicable	0.5%
	"Census Region 4: West"	"CENS-R4"	"2021 (provisional and partial)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	61313	Not Applicable	Not Applicable	0.5%
	"Census Region 4: West"	"CENS-R4"	"2021 (provisional and partial)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	61635	Not Applicable	Not Applicable	0.5%
	"Census Region 4: West"	"CENS-R4"	"2021 (provisional and partial)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	57783	Not Applicable	Not Applicable	0.5%
	"Census Region 4: West"	"CENS-R4"	"2021 (provisional and partial)"	"2021"	"Dec., 2021 (provisional and partial)"	"2021/12"	27608	Not Applicable	Not Applicable	0.2%
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Month"
"Query Parameters:"
"Title: 2021_raw"
"Group By: Residence Census Region; Year; Month"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 2, 2022 6:37:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Provisional Multiple"
"Cause of Death on CDC WONDER Online Database, released 2021. Data are from the final Multiple Cause of Death Files, 2018-2020,"
"and from provisional data for years 2020-2021, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 2, 2022 6:37:17 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Deaths occurring through December 18,2021 as of January 02,2022."
