"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Jun., 2020"	"2020/06"	101300	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Jul., 2020"	"2020/07"	121530	Not Applicable	Not Applicable	1.0%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Aug., 2020"	"2020/08"	120059	Not Applicable	Not Applicable	1.0%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Sep., 2020"	"2020/09"	107071	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Oct., 2020"	"2020/10"	111643	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Nov., 2020"	"2020/11"	116992	Not Applicable	Not Applicable	1.0%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Dec., 2020"	"2020/12"	139145	Not Applicable	Not Applicable	1.1%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	151788	Not Applicable	Not Applicable	1.2%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	116833	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	109745	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	103996	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"May, 2021 (provisional)"	"2021/05"	104735	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	99632	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	105980	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	134932	Not Applicable	Not Applicable	1.1%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	135780	Not Applicable	Not Applicable	1.1%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	113687	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	96197	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2021 (provisional and partial)"	"2021"	"Dec., 2021 (provisional and partial)"	"2021/12"	42621	Not Applicable	Not Applicable	0.3%
